California Institute of TechnologyUnited States of America,1,95.2
University of OxfordUnited Kingdom,2,94.2
Stanford UniversityUnited States of America,3,93.9
University of CambridgeUnited Kingdom,4,92.8
Massachusetts Institute of TechnologyUnited States of America,5,92
Harvard UniversityUnited States of America,6,91.6
Princeton UniversityUnited States of America,7,90.1
Imperial College LondonUnited Kingdom,8,89.1
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,9,88.3
University of ChicagoUnited States of America,10,87.9
Johns Hopkins UniversityUnited States of America,11,87.6
Yale UniversityUnited States of America,12,87.4
"University of California, BerkeleyUnited States of America",13,87.2
University College LondonUnited Kingdom,14,87.1
Columbia UniversityUnited States of America,15,86.1
"University of California, Los AngelesUnited States of America",16,85.8
University of PennsylvaniaUnited States of America,17,85.2
Cornell UniversityUnited States of America,18,84
University of TorontoCanada,19,83.9
Duke UniversityUnited States of America,20,82.7
University of MichiganUnited States of America,21,82.4
Carnegie Mellon UniversityUnited States of America,22,82.3
London School of Economics and Political ScienceUnited Kingdom,23,81.3
University of EdinburghUnited Kingdom,24,80.3
Northwestern UniversityUnited States of America,25,79.5
National University of SingaporeSingapore,26,79.2
King’s College LondonUnited Kingdom,27,78.2
Karolinska InstituteSweden,28,77.5
LMU MunichGermany,29,77.3
New York UniversityUnited States of America,30,77.2
École Polytechnique Fédérale de LausanneSwitzerland,31,76.1
University of WashingtonUnited States of America,32,75.6
University of MelbourneAustralia,33,75.4
University of British ColumbiaCanada,34,75.3
KU LeuvenBelgium,35,74.8
University of Illinois at Urbana-ChampaignUnited States of America,36,74.5
Heidelberg UniversityGermany,37,74.4
McGill UniversityCanada,38,72.6
"University of California, San DiegoUnited States of America",39,72.2
"University of California, Santa BarbaraUnited States of America",39,72.2
Georgia Institute of TechnologyUnited States of America,41,72.1
Peking UniversityChina,42,72
University of TokyoJapan,43,71.1
"University of California, DavisUnited States of America",44,71
University of Hong KongHong Kong,44,71
University of Texas at AustinUnited States of America,46,70.3
Tsinghua UniversityChina,47,70
Wageningen University and Research CenterNetherlands,47,70
Humboldt University of BerlinGermany,49,69.9
University of Wisconsin-MadisonUnited States of America,50,69.7
Brown UniversityUnited States of America,51,69.6
Australian National UniversityAustralia,52,69.5
Technical University of MunichGermany,53,69.4
École Normale SupérieureFrance,54,69
Nanyang Technological UniversitySingapore,55,68.2
University of ManchesterUnited Kingdom,56,68.1
University of SydneyAustralia,56,68.1
University of AmsterdamNetherlands,58,67.8
Hong Kong University of Science and TechnologyHong Kong,59,67.2
The University of QueenslandAustralia,60,67
Washington University in St LouisUnited States of America,60,67
Utrecht UniversityNetherlands,62,66.6
University of North Carolina at Chapel HillUnited States of America,63,66.4
Boston UniversityUnited States of America,64,66.1
Delft University of TechnologyNetherlands,65,65.9
University of MinnesotaUnited States of America,65,65.9
Leiden UniversityNetherlands,67,65.7
University of Southern CaliforniaUnited States of America,68,65.5
University of BristolUnited Kingdom,69,64.3
Durham UniversityUnited Kingdom,70,63.6
Erasmus University RotterdamNetherlands,71,63.5
Free University of BerlinGermany,72,63.2
Monash UniversityAustralia,73,62.5
University of GroningenNetherlands,74,62.4
Pennsylvania State UniversityUnited States of America,75,62.3
University of GlasgowUnited Kingdom,76,61.9
University of HelsinkiFinland,76,61.9
University of TübingenGermany,78,61.7
University of PittsburghUnited States of America,79,61.5
University of WarwickUnited Kingdom,80,61.3
Uppsala UniversitySweden,81,61.2
University of CopenhagenDenmark,82,61
University of New South WalesAustralia,82,61
University of FreiburgGermany,84,60.7
Seoul National UniversitySouth Korea,85,60.5
University of St AndrewsUnited Kingdom,86,60.4
Vanderbilt UniversityUnited States of America,87,60.1
Kyoto UniversityJapan,88,59.9
Maastricht UniversityNetherlands,88,59.9
Emory UniversityUnited States of America,90,59.7
Lund UniversitySweden,90,59.7
Ohio State UniversityUnited States of America,90,59.7
University of ExeterUnited Kingdom,93,59.5
University of BonnGermany,94,58.8
Georgetown UniversityUnited States of America,94,58.8
McMaster UniversityCanada,94,58.8
University of SheffieldUnited Kingdom,97,58.6
Queen Mary University of LondonUnited Kingdom,98,58.5
University of GöttingenGermany,99,58
Michigan State UniversityUnited States of America,99,58
University of BaselSwitzerland,101,57.9
École PolytechniqueFrance,101,57.9
Rice UniversityUnited States of America,101,57.9
Dartmouth CollegeUnited States of America,104,57.8
University of ZurichSwitzerland,104,57.8
"University of California, IrvineUnited States of America",106,57.7
University of MannheimGermany,106,57.7
University of Notre DameUnited States of America,108,57.6
University of Western AustraliaAustralia,109,57.5
RWTH Aachen UniversityGermany,110,57.2
University of SouthamptonUnited Kingdom,110,57.2
Scuola Normale Superiore di PisaItaly,112,57.1
University of MontrealCanada,113,57
Pierre and Marie Curie UniversityFrance,113,57
Purdue UniversityUnited States of America,113,57
Pohang University of Science and TechnologySouth Korea,116,56.9
"University of Maryland, College ParkUnited States of America",117,56.7
Ghent UniversityBelgium,118,56.6
University of BirminghamUnited Kingdom,119,56.2
University of BernSwitzerland,120,56.1
University of Cape TownSouth Africa,120,56.1
University of FloridaUnited States of America,120,56.1
University of Erlangen-NurembergGermany,123,56
"Rutgers, the State University of New JerseyUnited States of America",123,56
University of MünsterGermany,125,55.9
Radboud University NijmegenNetherlands,125,55.9
University of Colorado BoulderUnited States of America,127,55.8
Tufts UniversityUnited States of America,127,55.8
"Royal Holloway, University of LondonUnited Kingdom",129,55.7
Lancaster UniversityUnited Kingdom,130,55.6
University of GenevaSwitzerland,131,55.4
University of YorkUnited Kingdom,131,55.4
Case Western Reserve UniversityUnited States of America,133,55.3
University of LeedsUnited Kingdom,133,55.3
University of OsloNorway,135,55.1
Stockholm UniversitySweden,136,54.8
University of AlbertaCanada,137,54.7
Chinese University of Hong KongHong Kong,138,54.5
Karlsruhe Institute of TechnologyGermany,138,54.5
University of SussexUnited Kingdom,140,54.4
University of MassachusettsUnited States of America,141,54.3
University of ViennaAustria,142,54.2
University of NottinghamUnited Kingdom,143,54.1
"University of California, Santa CruzUnited States of America",144,53.9
University of LausanneSwitzerland,144,53.9
Autonomous University of BarcelonaSpain,146,53.8
University of VirginiaUnited States of America,147,53.3
Korea Advanced Institute of Science and Technology (KAIST)South Korea,148,53
Aarhus UniversityDenmark,149,52.9
University of AdelaideAustralia,149,52.9
University of East AngliaUnited Kingdom,149,52.9
University of TwenteNetherlands,149,52.9
Sungkyunkwan University (SKKU)South Korea,153,52.8
VU University AmsterdamNetherlands,154,52.5
KTH Royal Institute of TechnologySweden,155,52.4
University of CologneGermany,156,52.3
University of LiverpoolUnited Kingdom,157,52.2
TU Dresden Germany,158,52.1
University of RochesterUnited States of America,158,52.1
Trinity College DublinRepublic of Ireland,160,52
Lomonosov Moscow State UniversityRussian Federation,161,51.9
University of MiamiUnited States of America,161,51.9
University of ArizonaUnited States of America,163,51.7
Pompeu Fabra UniversitySpain,164,51.2
University of ReadingUnited Kingdom,164,51.2
Yeshiva UniversityUnited States of America,164,51.2
"University of California, RiversideUnited States of America",167,51.1
University of LeicesterUnited Kingdom,167,51.1
National Taiwan UniversityTaiwan,167,51.1
Technical University of DenmarkDenmark,167,51.1
Université Catholique de LouvainBelgium,167,51.1
University of AberdeenUnited Kingdom,172,51
University of AucklandNew Zealand,172,51
University of BarcelonaSpain,174,50.9
University of KonstanzGermany,175,50.8
Eindhoven University of TechnologyNetherlands,176,50.6
University College DublinRepublic of Ireland,176,50.6
Hebrew University of JerusalemIsrael,178,50.5
University of WaterlooCanada,179,50.3
University of GothenburgSweden,180,50.2
Scuola Superiore Sant’AnnaItaly,180,50.2
University of BergenNorway,182,50.1
Cardiff UniversityUnited Kingdom,182,50.1
University of UtahUnited States of America,182,50.1
Brandeis UniversityUnited States of America,185,49.9
University of DundeeUnited Kingdom,185,49.9
University of WürzburgGermany,185,49.9
Paris-Sud UniversityFrance,188,49.8
Arizona State UniversityUnited States of America,189,49.7
University of AntwerpBelgium,190,49.6
Boston CollegeUnited States of America,190,49.6
Ulm UniversityGermany,192,49.5
University of LuxembourgLuxembourg,193,49.4
Texas A&M UniversityUnited States of America,193,49.4
Charité - Universitätsmedizin BerlinGermany,195,49.3
Newcastle UniversityUnited Kingdom,196,49.2
"St George’s, University of LondonUnited Kingdom",196,49.2
University of TrentoItaly,198,49.1
Paris Diderot University – Paris 7France,199,48.9
Queen’s University BelfastUnited Kingdom,200,48.8
