Harvard University,1,1
Stanford University,3,2
Massachusetts Institute of Technology (MIT),4,3
"University of California, Berkeley",2,4
University of Cambridge,5,5
California Institute of Technology,6,6
Princeton University,7,7
Columbia University,8,8
University of Chicago,9,9
University of Oxford,10,10
Yale University,11,11
"University of California, Los Angeles",13,12
Cornell University,12,13
University of Pennsylvania,15,14
"University of California, San Diego",14,15
University of Washington,16,16
"University of California, San Francisco",18,17
The Johns Hopkins University,18,18
University of Wisconsin - Madison,17,19
University College London,21,20
The University of Tokyo,20,21
University of Michigan - Ann Arbor,22,22
Swiss Federal Institute of Technology Zurich,23,23
"The Imperial College of Science, Technology and Medicine",26,24
University of Illinois at Urbana-Champaign,25,25
University of Toronto,27,26
Kyoto University,24,27
"University of Minnesota, Twin Cities",28,28
New York University,31,29
Northwestern University,29,30
Washington University in St. Louis,30,31
University of Colorado at Boulder,32,32
"University of California, Santa Barbara",32,33
Rockefeller University,34,33
Duke University,35,35
The University of Texas at Austin,38,35
University of British Columbia,36,37
"University of Maryland, College Park",36,38
The University of Manchester,44,38
University of Paris Sud (Paris 11),45,40
Pierre and Marie  Curie University - Paris 6,39,41
University of North Carolina at Chapel Hill,41,42
University of Copenhagen,40,43
Karolinska Institute,42,44
Pennsylvania State University - University Park,43,45
University of Southern California,46,46
Technical University Munich,56,47
"University of California, Davis",46,48
"University of California, Irvine",46,48
Utrecht University,50,48
The University of Texas Southwestern Medical Center at Dallas,49,51
Vanderbilt University,53,52
The University of Edinburgh,54,53
University of Munich,52,54
Carnegie Mellon University,58,55
University of Zurich,51,56
University of Pittsburgh,56,57
The Hebrew University of Jerusalem,72,57
"Rutgers, The State University of New Jersey",54,59
University of Melbourne,62,60
Purdue University - West Lafayette,69,61
University of Heidelberg,63,62
The Ohio State University - Columbus,59,63
McGill University,61,64
Brown University,65,65
Leiden University,70,65
Uppsala University,66,67
King's College London,63,68
Ecole Normale Superieure - Paris,71,69
The Australian National University,59,70
University of Bristol,66,70
University of Florida,68,72
University of Helsinki,72,74
University of Oslo,75,75
Boston University,77,76
Moscow State University,74,77
Arizona State University - Tempe,81,78
University of Utah,82,79
University of Arizona,78,80
Stockholm University,79,81
Osaka University,75,82
Indiana University Bloomington,90,82
University of Rochester,82,84
University of Nottingham,84,85
University of Goettingen,93,86
Aarhus University,98,86
University of Basel,86,89
McMaster University,88,89
Ghent University,90,89
Michigan State University,86,92
Rice University,99,93
Nagoya University,79,94
University of Bonn,93,94
University of Sydney,92,96
Tohoku University,84,97
The University of Sheffield,88,97
Case Western Reserve University,97,97
Texas A&M University - College Station,95,100
