Data set,Overall research performance
Entity,"Indian Institute of Science Education and Research Pune"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,18 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),35.7%,33.3%,32.0%,27.1%,23.0%,39.2%,51.1%,46.0%
Academic-Corporate Collaboration (%),1.4%,3.0%,2.6%,1.1%,0.5%,1.1%,1.3%,0.0%
Scholarly Output,1181,99,153,188,204,260,227,50
Scholarly Output (growth %),162.6%
Citations,9822,1377,2690,2488,1470,1465,326,6
Field-Weighted Citation Impact,1.43,1.04,1.52,1.36,1.17,1.59,1.37,2.78
Outputs in Top Citation Percentiles (top 10%),23.8%,14.1%,30.7%,26.6%,17.6%,24.6%,25.6%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),54.8%,40.0%,53.7%,54.1%,55.7%,56.7%,59.3%,-%
Citations per Publication,8.3,13.9,17.6,13.2,7.2,5.6,1.4,0.1
Views,23582,2062,3533,4086,2873,5402,5473,153
Outputs in Top Views Percentiles (top 10%),21.9%,15.2%,17.6%,18.6%,13.7%,21.5%,38.3%,-%
Views per Publication,20.0,20.8,23.1,21.7,14.1,20.8,24.1,3.1
Field-Weighted View Impact,2.09,0.93,1.08,1.03,0.95,2.39,4.91,1.76
Citing-Patents Count (patent office: All Patent Offices),15,2,3,7,3,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),10,1,4,3,2,0,0,0
Patent-Citations Count (patent office: All Patent Offices),16,2,4,7,3,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),13.5,20.2,26.1,37.2,14.7,0.0,0.0,0.0
Mass Media (Print),22,5,1,3,3,9,1,-
Media Exposure Internationally recognized (Print),9.0,5.0,-,-,2.0,2.0,-,-,
Media Exposure Regionally recognized (Print),3.0,-,0.5,-,0.5,2.0,-,-,
Media Exposure Nationally recognized (Print),2.1,-,-,0.9,-,0.9,0.3,-
Media Exposure Locally recognized (Print),
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.14,0.5,0.1,0.0,0.1,0.2,0.1,-
"Authors",717,77,143,191,256,304,274,87
Authors (growth %),294.8%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
